Target,MAE,R2,Directional_Accuracy,Legacy_Global_Accuracy,Log_Transformed,Last_Updated
PTS,4.7534,0.4603,61.79,73.95,False,2026-04-21 14:18:20
REB,1.9388,0.4099,59.53,71.12,False,2026-04-21 14:18:21
AST,1.4232,0.4646,56.35,72.16,False,2026-04-21 14:18:22
FG3M,0.9428,0.2354,55.26,67.22,True,2026-04-21 14:18:24
FG3A,1.5579,0.5107,55.01,73.6,False,2026-04-21 14:18:25
BLK,0.5361,0.1669,39.0,34.79,True,2026-04-21 14:18:25
STL,0.769,0.026,60.39,76.68,True,2026-04-21 14:18:26
TOV,0.9498,0.1974,61.93,67.23,True,2026-04-21 14:18:28
PRA,6.0731,0.5144,62.82,75.77,False,2026-04-21 14:18:29
PR,5.5999,0.4714,62.75,74.46,False,2026-04-21 14:18:30
PA,5.2,0.5218,62.14,74.9,False,2026-04-21 14:18:31
RA,2.6633,0.4249,60.68,73.14,False,2026-04-21 14:18:33
SB,0.9718,0.0736,62.21,62.2,True,2026-04-21 14:18:34
FGM,1.8285,0.4138,60.25,73.13,False,2026-04-21 14:18:35
FGA,2.7882,0.5679,62.31,79.0,False,2026-04-21 14:18:36
FTM,1.4664,0.3417,50.48,62.16,False,2026-04-21 14:18:37
FTA,1.7577,0.3519,53.03,71.03,False,2026-04-21 14:18:37
FPTS,7.746,0.458,63.52,73.89,False,2026-04-21 14:18:39
PTS_1H,3.8097,0.1711,44.1,49.47,False,2026-04-21 14:18:39
PRA_1H,5.2067,0.1859,46.24,57.67,False,2026-04-21 14:18:39
FPTS_1H,6.6389,0.1416,46.75,58.7,False,2026-04-21 14:18:40
